,tweet_id,Text,label
0,1,dr. fauci must be charged for being a pandemic planner. he lied to everyone about       covid. his own emails prove this. lock him up.,"Yes
"
1,2,"you guys remember when the government closed nature? our government closed down all recreational sites and forests in washington state because of the coivd19 pandemic. because i remember that. and i am. not going to forget about it. not only that, i am going to keep.","Yes
"
2,3,"the atlantic is trash and nobody believes that some pathological lying journalistwas given top secret war plans. the atlantic is the same shitty outlet that bolstered russian collusion, fine people on both sides, and covid lies.","No
"
3,4,"trump chose susan monarez to head the cdc. she worked for biden & obama. she supports all of fauci's policies, and is a huge proponent of big pharma. she pushes the dangerous mrna covid jab for babies. loves boosters. loves masks. this an absolute nightmare!","Yes
"
4,5,the new york times finally admits the conspiracy theorists were right about covid and that fauci and the experts misled the public. perhaps we were misled on purpose. i can't believe they actually printed this. here's what they're finally admitting: tony fauci.,"Yes
"
5,6,five police officers swarmed in on two elderly ladies protesting the stage four covid restrictions in melbourne. they even snatched one ladies phone. never forget the tyranny they imposed on us. nowadays machete wielding bastards are on our streets and can't be controlled.,"Yes
"
6,7,"rahul kanal, who vandalized #kunalkamra 's studio was once aditya thackeray's right hand. when he was in shiv sena, ed raided his house in khichdi scam & covid scams. got clean chit immediately as he joined the shinde faction. hindu rashtra isfor the goons, ruled by the goons.","Yes
"
7,8,"i was whole once, excited for what the future may bring until a shot unraveled me, leaving my body a fading wreck. yesterday i went in to a picc line placement, my last, fractured hope after the vaccine ripped me open, to hopefully get some sort of life back through the.","No
"
8,9,"missouri won a $24 billion judgement against china earlier in march. china was found guilty of hoarding ppe equipment during the pandemic. china now needs to pay up or @agandrewbailey says he'll start seizing their us farmland. has china paid? if not, start seizing!","Yes
"
9,10,"did you know there have been recent protests against the mrna research that likely led to the covid outbreak?. i'm guessing you didn't, and that's exactly what the legacy media wants.","Yes
"
10,11,"so many americans, like this poor woman, were silenced during covid and could not share their vaccine injury stories. millions of people could have been saved if the vaccineinjured were allowed to speak out. this is evil. and we will not rest until the monsters who did this.","No
"
11,12,horrifying. after 5 'covid19 mrna booster shots'...this is what the human heart looks like...it's permanently damaged with fatal microscars...eventually leading to death...,"Yes
"
12,13,breaking: javier milei erupts: covid lockdowns were a crime against humanity to appease bloody dictators,"No
"
13,14,there's a decent chance that we all died of covid and this is hell.,"No
"
14,15,"today, @covidinquiryuk heard that the government instructed ppe suppliers to prioritise english nhs settings over scotland. just as shocking, the government withdrew embassy support from scottish government officials negotiating ppe deals in foreign countries.","Yes
"
15,16,covid was a crazy time.,"No
"
16,17,"flashback! @johnlittellmd is removed from a board meeting at sarasota memorial hospital after testifying to the effectiveness of ivermectin to treat covid19. february 21, 2023.","Yes
"
17,18,"president trump's cdc pick, susan monarez, is not for us. i'm not buying that kennedy handpicked her. he hand picked dr. dave weldon. this reaks of deep state. if pandemic 2.0 comes, we do not want her in the driver seat or even in the car. keep making your voice heard. we.","No
"
18,19,you got that right...we will never forgive or forget trump's incompetence during covid.,"No
"
19,20,"trump loves trash  here's your new cdc director, a baby killer reporting to bobby. monarez in august 2024: the updated covid shot is here! cdc recommends babies 6 months & older get an updated covid vaccine.","Yes
"
20,21,while we are being distracted by domestic terrorists on our college campuses. let's not lose sight of this. 1. ukraine is losing the war. 2. our borders.,"Yes
"
21,22,"now fauci admits that covid vaccines cause myocardltls, particularly in young men. should he be prosecuted for lying to the public?","Yes
"
22,23,gop unveils its 2024 platform: shut it down. fbi? shut it down. irs? shut it down. doj? shut it down. nato? shut it down. history? shut it down. the nfl? shut it down. anti putin? shut it down. the planet? shut ut down. government? shut it down. fix the border?,"No
"
23,24,covid came from a lab. fauci lied. masks did nothing. social distancing was never proven to work. ivermectin was suppressed. millions of people have had vax injuries.,"Yes
"
24,25,my maternal grandmother died in the 1918 flu pandemic. rfk jr can go fuck himself.,"No
"
25,26,if what this states is true... that everything in our world is orchestrated by the cdc; w.h.o.; u.n.; and u.s. & u.k. militaries... in order for world domination... then the time has come for all of us to make a decision... either resist or abide. which group will you choose?,"No
"
26,27,the most nonpartisan journalist in canadian history is becoming an official fact checker!,"No
"
27,28,missouri is seizing chineseowned farmland in a bid to collect the $25 billion civil judgment against beijing for the harm caused by the covid19 pandemic. are you mad? well  are you?,"Yes
"
28,29,the north carolina supreme court ruled 52 that a mother can sue a public school for forcing her 14yearold son to get the covid shot without her consent. do you agree?,"Yes
"
29,30,"claudia sheinbaum: he visto como estan trabajando y el agradecimiento de la gente. desde 1963, mas de 400 000 profesionales cubanos de la salud han trabajado en 164 paises. durante la pandemia de la covid19, #cuba envio brigadas medicas a mas de 40 paises.","Yes
"
30,31,"breaking: cdc under rfk jr. just canceled $11 billion in covid funding for state health departments. great news! the covid19 pandemic is over, & hhs will no longer waste billions of taxpayer dollars responding to a nonexistent pandemic that americans moved on from years.","Yes
"
31,32,if you believe masks would prevent you from catching a virus  you probably believe the terrorist attack in russia was isis. if you believe the 2020 election wasn't rigged  you probably believe the terrorist attack in russia was isis. if you believe ivermectin was just horse.,"No
"
32,33,this old video of actor jim carrey resurfaced where he harshly criticized the children's vaccine schedule and pharmaceutical industry. i don't think we can afford to assume that the people that are charged with our public health have our best interest at heart.,"Yes
"
33,34,"they knew and covered it up. in 1995 we started seeing an explosion in autism. the vaccine companies...and the who, nih, cdc, fda...all met in a secret meeting at a methodist retreat centre. they knew what was happening at that point, and they had a panicked...","Yes
"
34,35,"the pharmaceutical lobby is directly tied to the jewish lobby. at pfizer's helm is a jewish man from thessaloniki, greece: albert bourla. mikael dolsten, pfizer's chief scientist, is a jew from sweden, leading pfizer's vaccine.","Yes
"
35,36,"new covid scam uncovered... the government issued 5,600 loans for $312 million to borrowers whose only listed owner was 11 years old or younger at the time of the loan. this is a legitimately insane level of fraud.","Yes
"
36,37,"people who died with covid19.. notice they said with and not from. even in 2025, the news is still propagandizing you.","Yes
"
37,38,5 years ago: celebrities join together and sing imagine to help us with the lockdown.,"Yes
"
38,39,"antivaxxer nurse who injected up to 8,600 elderly patients with saltwater instead of covid walks free from court in germany. i'm glad she. saved thousands if possible lives but definitely a slippery slope.","Yes
"
39,40,"a lot was exposed by the pandemic mismanagement including the editorialization of news... it really hit home when we were personally affected, and horrified at what happened to people during the pandemic.","Yes
"
40,41,the new york times finally admits the conspiracy theorists were right about covid and that fauci and the experts misled the public and used key government officials. to cover this up. the biden administration and intelligence agencies pressured social media platforms like.,"Yes
"
41,42,remember when our government said korea was crucial to our freedom in the usa. how'd that work out? remember when our government said vietnam was crucial to our freedom in the usa. how'd that work out? remember when our government said afghanistan was crucial to our freedom.,"Yes
"
42,43,"@seckennedy @cdcgov that's all great secretary, but it's time to ban mrna injections! it's time to prosecute anthony fauci. it's time to remove vaccine mandates from our schools. there's a lot to get done and the time is now, secretary. make it happen!!","No
"
43,44,hertz says it's ok that they lost $8000 of my pension because of their bad business decisions during covid.,"Yes
"
44,45,"this is trista martin. she would have been 21 years old today. trista was killed by the pfizer covid19 vaccine. we are grieving today with the martin family on this march 25, what should have been a momentous celebration of trista's 21st birthday. we pray for god's healing.","Yes
"
45,46,it's not trump vs harris. it's trump vs google. it's trump vs chatgpt. it's trump vs legacy media. it's trump vs hollywood. it's trump vs illegal immigrants. it's trump vs wokeness. it's trump vs tyranny. it's trump vs evil. it's trump vs puppets. it's trump vs machine.,"No
"
46,47,"during the online overtime segment of friday's broadcast of hbo's real time, writer andrew sullivan said that former niaid director dr. anthony fauci lied to cover up the possibility that covid leaked from a lab because you don't want to go down in history as the person who.","Yes
"
47,48,"no, there isn't a this is an emergency clause that allows the constitution to be violated. you'd think people would have learned this lesson from covid  since they didn't learn it from countless examples in history already. but no. same fearmongering  different team.","No
"
48,49,2020: lock down or you're a granny killer. 2021: take the injection or lose your job and your freedom. 2022: support ukraine or you're putin's puppet. 2023: support israel or you're a terrorist sympathising antisemite. 2024: join the army & fight russia or you're a selfish sluggar,"No
"
49,50,lockdown anniversary,"No
"
50,51,"powerful... dr. ryan cole: i've been censored. i've been attacked by boards of medicine, by newspapers, nationally, internationally, locally, ceos of local hospitals, etcetera. for what? for harming patients? no. do i have any patient complaints against me for covid treatment?","Yes
"
51,52,"when it comes to advertising experimental covid19 genetic injections, pfizer and moderna aren't required to disclose any side effects or risks. it's time to end this travesty.","Yes
"
52,53,i got a headache 4 years after my covid vaccine. damn those mrna shots!!!!,"No
"
53,54,the ag of missouri sued the chinese communist party for the covid pandemic and won! $24 billion judgement and they intend to seize ccp owned assets like farmland! this is what an ag does @danrayfield.,"Yes
"
54,55,"other than inflation, a divided country, cancel culture, empty shelves, mandates, medical tyranny, failed govt, looming recession, folks mental health declining, uncertain future, fake news. how's it going for everyone?","No
"
55,56,"we must never, ever sacrifice due process and civil liberties in pursuit of greater safety and security. we learned this with the patriot act and the war on terror. we learned it with covid lockdowns and mandates. we will learn it again with illegal immigrant deportations.","No
"
56,57,vaccine mandates need to be removed from our schools. vaccine mandates need to be removed from our military. vaccine mandates need to be removed from our day care. vaccine mandates need to be removed from our hospitals. my body my choice!,"No
"
57,58,where is bill gates? what happened to maxwell? hunters laptop? biden bribing nations? what's obama doing? who got all the blm money after the lady got her cut? who pays antifa rioters. why is benghazi not a thing? are the clinton's involved.,"Yes
"
58,59,healthcare 4 all but how will we pay for it. student debt forgiveness but how will we pay for it. clean air but how will we pay for it. clean water but how will we pay for it. food & housing for poor but how will we pay for it. djts election risk $1.5 t. #democraticsocialism.,"Yes
"
59,60,imagine having one life and wasting it on being an anti vaccine activist. to dedicate yourself to attacking something that has saved hundreds of millions of lives. so misguided.,"No
"
60,61,"fox news entlarvt die great resetagenda des wef als faschistische agenda mit dem ziel, die menschen wie leibeigene zu beherrschen: das wef ist eine fanatische politische organisation, die angst und manipulation einsetzt, wie die covidhysterie oder den schwindel der.","No
"
61,62,"after covid, why should i trust our government on anything? our government told us the following about the covid mrna vaccine: 1. it was safe. 2. it was effective. 3. it would stop the covid virus in its tracks. 4. it would stay in the deltoid muscle. 5. it had minimum side.","Yes
"
62,63,the north carolina supreme court has given a family the green light to sue their school district after a boy was forcibly vaccinated with a covid mrna injection without parental consent. the state high court ruled that a mother and her son can file a lawsuit against the public.,"Yes
"
63,64,"arrest dr. fauci and bill gates for colluding with the cdc, nih and fda to inject our world with an 'experimental covid vaccine' that causes a.i.d.s.","Yes
"
64,65,"en. ron johnson, in conversation with neil oliver: there are basically three groups of individuals in the world today. the largest group... just want to forget covid... whether they were either harmed, or whether they caused harm. then there's the group whose eyes were.","No
"
65,66,"maha isn't going after the vaccine industry, they're going after food stamps that people in poverty are forced to use. maga isn't going after illegal criminals, they're going after protestors of israel who are here legally. what they sell you is never what you get.","No
"
